"stock.s_1","stock.s_2","harvest.s_1","harvest.s_2","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2"
2183.1726196,1528.7180112,NA,NA,NA,NA,NA,NA,NA,NA
2634.28898429667,1035.12461489928,231.859009603531,830.06677374112,1.06380055472255,0,2380824.38122181,0,651824.803368086,1729000.64165428
2991.94833081532,664.292634353778,352.917037525755,709.00874600747,1.34194130648393,0,2468994.58942664,0,992155.012582134,1476840.91878582
3199.42114530879,369.946806249026,497.353061608748,564.572721797239,1.66507967072539,0,2574191.70440105,0,1398207.73901339,1175985.63046733
3222.32667483218,149.412191229816,667.383768125989,394.542015235037,2.08943343942519,0,2698030.15522551,0,1876214.74866832,821817.495990635
3052.08293584555,23.3038994657009,858.424057789248,203.501725613289,2.66843498544767,0,2837170.41203422,0,2413285.96042786,423887.120041341
2731.51353557753,0,1022.02835007957,39.8974333026295,3.35421521117678,0,2956328.03568342,0,2873226.40369409,83104.9862045432
2381.01981365842,0,1061.92578339138,0,3.89417191763641,0,2985386.08974203,0,2985389.98391394,0
2018.96129652126,0,1061.92578339706,0,4.46740646252874,0,2985385.51652344,0,2985389.9839299,0
1620.31115195978,0,1061.92578340157,0,5.26854245364666,0,2985384.71540011,0,2985389.98394257,0
1152.40126691707,0,1061.92578340126,0,6.56477818480926,0,2985383.41916353,0,2985389.98394171,0
564.464206315709,0,1061.92578339676,0,9.23027734202333,0,2985380.75365171,0,2985389.98392906,0
0,0,1061.92578340085,0,18.8443893943477,0,2985371.13955117,0,2985389.98394057,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
